"pvalue" "adjpvalue" "logFC"
"NME1" 5.46635178752807e-45 2.51187430145414e-43 2.08332638412798
"ESAM" 7.33085216595977e-45 3.35907143706719e-43 -2.1738091426527
"SOSTDC1" 8.2691764615321e-45 3.77828745461902e-43 -5.03997033804893
"TGFBR2" 8.78736690400363e-45 4.00371301679872e-43 -1.76133398189888
"IQSEC3" 8.99348603873236e-45 4.08608271320322e-43 -2.78785278975022
"C1orf131" 9.15069417273072e-45 4.14582995258353e-43 1.00980423214654
"DNASE1L3" 9.65814303163917e-45 4.36347868227754e-43 -3.74459301592421
"RAPGEF4" 1.07662790143869e-44 4.85053950343703e-43 -1.96454818433854
"SPN" 1.12180101487007e-44 5.03998010274078e-43 -2.47122969379318
"TRIM58" 1.34372313233156e-44 6.02025288927103e-43 -2.97754435511052
