Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
NAA35	60560	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Particulate Matter|Vehicle Emissions	8.93	4
NCDN	23154	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Particulate Matter|Vehicle Emissions	8.93	4
NR2C2AP	126382	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Urethane|Vehicle Emissions	8.93	5
OVOL2	58495	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|trichostatin A|Urethane	8.93	5
PLEKHO1	51177	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
PSMD12	5718	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Cisplatin|Particulate Matter|Resveratrol	8.93	7
RAB10	10890	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
RGP1	9827	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Particulate Matter|Vehicle Emissions	8.93	4
SAG	6295	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Particulate Matter|Vehicle Emissions	8.93	4
SFMBT2	57713	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.93	2
SFSWAP	6433	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Particulate Matter|Vehicle Emissions	8.93	4
SH3GL2	6456	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.93	2
SPNS2	124976	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
SVIL	6840	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Genistein|Particulate Matter|trichostatin A	8.93	4
TMEM64	169200	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
WSCD2	9671	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|N-nitroso-tris-chloroethylurea|Particulate Matter	8.93	4
BAXA	58081	Adenocarcinoma of Lung	MESH:D000077192		Genistein|Particulate Matter|Resveratrol	8.92	4
CXCR7	560908	Adenocarcinoma of Lung	MESH:D000077192		benz(a)anthracene|Cisplatin|Vehicle Emissions	8.92	4
CYP26A1	1592	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Cisplatin|Resveratrol|trichostatin A|Vehicle Emissions	8.92	7
EIPR1	7260	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Vehicle Emissions	8.92	4
KCNQ1	3784	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Arsenic Trioxide|Particulate Matter|Propranolol	8.92	6
NOS3	4846	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution|Urethane	8.92	2
PLEKHM2	23207	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Particulate Matter|Urethane	8.92	6
SCO2	9997	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Theophylline|Urethane	8.92	5
SEC31B	25956	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|N-nitroso-tris-chloroethylurea	8.92	4
SNRPC	6631	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Vehicle Emissions	8.92	4
ADK	132	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Cisplatin|trichostatin A|Vehicle Emissions	8.91	6
B4GALT2	8704	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
CCDC148	130940	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|trichostatin A|Vehicle Emissions	8.91	4
COL20A1	57642	Adenocarcinoma of Lung	MESH:D000077192		benz(a)anthracene|Cisplatin|Paclitaxel	8.91	5
DCAF12L1	139170	Adenocarcinoma of Lung	MESH:D000077192		N-nitroso-tris-chloroethylurea|trichostatin A|Vehicle Emissions	8.91	3
DLG2	1740	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
DONSON	29980	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
FAS	355	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution|Urethane	8.91	2
FRK	2444	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
GALNS	2588	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
GSAP	54103	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
HEATR5B	54497	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Urethane|Vehicle Emissions	8.91	5
HERC4	26091	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
ING1	3621	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.91	1
KLK2	3817	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Genistein|Resveratrol	8.91	4
LASP1	3927	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|benz(a)anthracene|Particulate Matter|Vehicle Emissions	8.91	6
